transaction_id,amount,transaction_type,sender_bank,receiver_bank,device_type,hour_of_day,day_of_week,transaction_freq_1hr,location_distance_km,new_device,failed_attempts,account_age_days,pin_changed_recently,is_weekend,timestamp,is_fraud,risk_score,upi_id,source
TXN000038,21012.97,Bill Payment,Kotak,BOI,iOS,20,5,0,428.4,0,1,1983,1,1,2024-10-26 20:44:00,0,,,
TXN000039,36734.36,Recharge,ICICI,Canara,Android,18,0,1,136.5,0,1,1406,0,0,2024-04-22 18:31:00,0,,,
TXN000040,26710.84,P2P,Kotak,BOI,iOS,20,2,5,13.6,0,0,3580,0,0,2024-10-30 20:36:00,0,,,
TXN000041,16349.02,Bill Payment,Axis,HDFC,Web,17,5,3,126.1,1,0,3098,0,1,2024-07-13 17:17:00,0,,,
TXN000042,10000.68,Shopping,HDFC,ICICI,iOS,3,1,8,1909.9,1,4,25,1,0,2024-03-05 03:30:00,1,,,
TXN000043,3.81,Bill Payment,BOI,PNB,Android,11,3,12,754.8,0,2,26,0,0,2024-04-11 11:04:00,1,,,
TXN000044,17068.15,P2M,Kotak,Canara,iOS,18,5,3,480.4,0,1,2927,0,1,2024-09-07 18:06:00,0,,,
TXN000045,36554.0,Recharge,PNB,SBI,iOS,10,6,0,139.5,0,1,2364,0,1,2024-05-05 10:53:00,0,,,
TXN000046,9100.17,P2M,HDFC,Axis,Web,9,6,2,440.2,0,1,2306,1,1,2024-05-12 09:21:00,0,,,
TXN000047,27763.26,P2M,Kotak,PNB,iOS,9,5,5,245.4,0,0,1235,0,1,2024-08-31 09:41:00,0,,,
TXN000048,17194.43,P2M,PNB,HDFC,Web,23,1,2,351.4,0,1,974,0,0,2024-10-08 23:21:00,0,,,
TXN000049,38111.86,Bill Payment,Axis,PNB,Android,9,5,3,138.2,0,1,441,0,1,2024-04-20 09:47:00,0,,,
TXN000050,35403.84,Shopping,Kotak,Canara,iOS,8,2,4,146.1,0,1,450,0,0,2024-01-24 08:03:00,0,,,
TXN000051,9226.34,Shopping,Kotak,HDFC,Android,5,6,0,200.4,1,0,651,0,1,2024-09-01 05:07:00,0,,,
TXN000052,164666.52,P2P,HDFC,Axis,Web,18,5,19,1243.4,1,5,10,1,1,2024-07-13 18:28:00,1,,,
TXN000053,33024.8,Bill Payment,Kotak,Canara,Android,8,4,0,78.3,0,1,1222,1,0,2024-03-29 08:35:00,0,,,
TXN000054,46196.31,P2M,Kotak,ICICI,Android,17,5,5,402.0,0,0,2260,0,1,2024-11-16 17:37:00,0,,,
TXN000055,6.36,P2P,BOI,PNB,Web,12,1,14,2249.3,0,5,15,1,0,2024-08-27 12:44:00,1,,,
TXN000056,4575.43,P2M,Canara,Canara,iOS,21,0,0,499.8,0,1,2390,1,0,2024-10-21 21:37:00,0,,,
TXN000057,29270.63,Recharge,Canara,Kotak,Web,15,6,3,174.0,0,0,3543,0,1,2024-09-08 15:05:00,0,,,
TXN000058,40680.17,P2P,Canara,BOI,Android,14,1,2,126.2,0,1,3572,0,0,2024-08-20 14:05:00,0,,,
TXN000059,18095.35,Recharge,HDFC,SBI,Web,17,5,0,101.8,0,1,1824,0,1,2024-11-16 17:28:00,0,,,
TXN000060,11972.48,P2M,Canara,Kotak,Web,8,2,4,204.0,0,0,1920,0,0,2024-10-09 08:00:00,0,,,
TXN000061,20780.36,Recharge,PNB,Kotak,Android,13,3,3,275.6,0,0,3569,0,0,2024-08-29 13:15:00,0,,,
TXN000062,14934.81,Recharge,Canara,PNB,Android,14,1,1,223.3,0,1,2290,0,0,2024-12-03 14:31:00,0,,,
TXN000063,11947.89,P2M,Canara,SBI,Android,12,0,2,372.4,0,1,1611,0,0,2024-07-29 12:02:00,0,,,
TXN000064,29513.12,P2M,HDFC,Canara,iOS,19,1,4,455.2,1,0,1709,0,0,2024-08-13 19:06:00,0,,,
TXN000065,34638.3,Recharge,SBI,HDFC,Android,15,0,5,429.7,0,1,2597,0,0,2024-06-17 15:54:00,0,,,
TXN000066,46047.25,Bill Payment,SBI,SBI,iOS,23,4,0,380.2,0,0,1847,0,0,2024-02-16 23:27:00,0,,,
TXN000067,14675.46,Shopping,BOI,Axis,iOS,11,4,4,206.0,0,0,726,0,0,2024-03-15 11:15:00,0,,,
TXN000068,7164.45,P2M,HDFC,Canara,iOS,13,4,2,333.4,0,1,1208,0,0,2024-05-10 13:29:00,0,,,
TXN000069,14964.72,P2M,BOI,PNB,Web,21,3,3,422.7,0,1,3525,0,0,2024-12-19 21:16:00,0,,,
TXN000070,34966.96,Bill Payment,Axis,PNB,Android,2,1,2,4.0,0,0,2513,0,0,2024-12-03 02:25:00,0,,,
TXN000071,31048.35,P2P,PNB,ICICI,Android,16,1,1,314.1,0,0,1295,0,0,2024-12-03 16:43:00,0,,,
TXN000072,16342.69,Recharge,Kotak,PNB,Android,12,4,4,438.2,0,1,3431,0,0,2024-04-12 12:08:00,0,,,
TXN000073,3774.22,P2P,Kotak,HDFC,iOS,17,3,5,362.1,0,1,399,0,0,2024-04-25 17:55:00,0,,,
TXN000074,37453.09,Shopping,PNB,Axis,Web,10,6,5,470.1,0,0,1961,1,1,2024-07-14 10:52:00,0,,,
TXN000075,9.18,Recharge,Canara,PNB,Web,3,2,14,2989.8,1,3,29,1,0,2024-01-24 03:02:00,1,,,
TXN000076,34827.23,Recharge,Kotak,SBI,Web,14,6,5,77.3,0,0,3444,0,1,2024-10-27 14:47:00,0,,,
TXN000077,22174.72,P2M,HDFC,Canara,Android,21,3,5,183.7,0,1,278,0,0,2024-07-04 21:06:00,0,,,
TXN000078,32088.81,Shopping,Axis,Axis,Android,15,3,2,121.8,0,0,311,0,0,2024-01-11 15:03:00,0,,,
TXN000079,7386.23,P2P,ICICI,SBI,iOS,19,1,1,493.8,0,0,480,0,0,2024-01-02 19:17:00,0,,,
TXN000080,11904.2,Recharge,PNB,HDFC,iOS,11,5,0,63.4,0,0,3084,0,1,2024-03-30 11:16:00,0,,,
TXN000081,47271.33,Recharge,HDFC,Canara,Web,4,1,2,229.0,0,0,1991,0,0,2024-12-03 04:33:00,0,,,
TXN000082,3683.8,Shopping,Kotak,Canara,Web,7,3,0,63.1,0,1,1590,0,0,2024-11-07 07:09:00,0,,,
TXN000083,4967.93,Recharge,BOI,BOI,Web,16,6,4,360.4,0,1,965,0,1,2024-12-01 16:41:00,0,,,
TXN000084,114014.6,Shopping,SBI,PNB,Web,17,4,7,2579.4,1,2,24,0,0,2024-08-30 17:04:00,1,,,
TXN000085,10000.5,P2P,PNB,PNB,Android,1,0,14,1379.1,1,3,5,0,0,2024-05-27 01:38:00,1,,,
TXN000086,28709.26,Bill Payment,SBI,ICICI,iOS,18,0,4,306.8,0,0,2524,0,0,2024-10-14 18:49:00,0,,,
TXN000087,15456.14,P2P,HDFC,Axis,iOS,11,3,1,283.2,0,0,3065,0,0,2024-01-04 11:11:00,0,,,
TXN000088,17051.39,P2P,HDFC,Kotak,iOS,11,5,4,298.1,0,0,674,0,1,2024-06-15 11:49:00,0,,,
TXN000089,24288.23,Recharge,Kotak,SBI,Android,12,6,4,56.9,0,1,2807,0,1,2024-05-19 12:13:00,0,,,
TXN000090,29970.25,Recharge,ICICI,ICICI,iOS,0,0,1,382.1,0,0,61,0,0,2024-06-03 00:13:00,0,,,
TXN000091,11513.23,P2P,PNB,BOI,Web,14,6,2,36.0,0,0,1816,1,1,2024-12-08 14:51:00,0,,,
TXN000092,32010.68,Bill Payment,HDFC,BOI,Android,10,4,2,85.9,0,1,3437,0,0,2024-07-26 10:01:00,0,,,
TXN000093,29447.68,P2P,Axis,PNB,iOS,14,6,2,372.9,0,0,342,0,1,2024-07-21 14:55:00,0,,,
TXN000094,40949.24,P2P,ICICI,Canara,iOS,18,1,1,128.0,0,0,3143,0,0,2024-04-30 18:06:00,0,,,
TXN000095,37996.26,Recharge,Canara,Kotak,iOS,12,2,5,493.3,0,1,648,0,0,2024-10-16 12:41:00,0,,,
TXN000096,17603.59,P2P,BOI,Canara,Web,6,5,0,28.4,0,0,2670,0,1,2024-08-24 06:28:00,0,,,
TXN000097,39592.97,P2P,Canara,HDFC,iOS,19,6,4,325.9,0,1,2083,0,1,2024-08-18 19:58:00,0,,,
TXN000098,4225.61,Bill Payment,BOI,BOI,iOS,15,6,5,218.9,0,0,1520,0,1,2024-01-21 15:15:00,0,,,
TXN000099,2627.75,Shopping,ICICI,PNB,Android,15,3,2,47.3,0,1,1062,0,0,2024-06-20 15:04:00,0,,,
TXN000100,7080.0,Bill Payment,ICICI,HDFC,Web,11,6,5,196.0,0,0,1298,0,1,2024-12-01 11:44:00,0,,,
TXN000101,25429.34,P2M,HDFC,Kotak,Android,1,4,1,170.9,0,0,957,0,0,2024-06-07 01:11:00,0,,,
TXN000102,26993.14,P2M,ICICI,ICICI,Web,17,3,5,168.4,0,0,2476,0,0,2024-09-26 17:02:00,0,,,
TXN000103,20548.82,Bill Payment,Canara,Axis,iOS,16,2,4,142.5,0,1,988,0,0,2024-05-01 16:28:00,0,,,
TXN000104,28525.27,Shopping,ICICI,Kotak,Android,12,4,3,251.5,0,0,3375,0,0,2024-05-24 12:49:00,0,,,
TXN000105,43707.11,Shopping,ICICI,BOI,Android,14,3,4,425.6,0,0,1147,0,0,2024-02-22 14:45:00,0,,,
TXN000106,11109.68,P2P,PNB,Axis,Android,13,3,0,207.4,0,1,995,0,0,2024-06-27 13:59:00,0,,,
TXN000107,4963.17,Recharge,Canara,SBI,Android,16,3,1,68.8,0,1,2881,0,0,2024-06-20 16:50:00,0,,,
TXN000108,10000.88,P2P,HDFC,Canara,Web,13,0,14,1094.1,1,3,14,0,0,2024-02-26 13:49:00,1,,,
TXN000109,31601.43,P2P,PNB,HDFC,Web,14,3,3,0.8,0,1,797,0,0,2024-03-14 14:18:00,0,,,
TXN000110,39322.75,Bill Payment,HDFC,PNB,Android,13,3,3,21.8,0,1,1068,0,0,2024-01-11 13:24:00,0,,,
TXN000111,31416.57,Recharge,Canara,ICICI,Android,17,2,0,176.1,0,0,3431,0,0,2024-06-19 17:08:00,0,,,
TXN000112,166428.56,Bill Payment,SBI,PNB,iOS,19,0,14,1788.5,0,4,2,0,0,2024-01-22 19:20:00,1,,,
TXN000113,9.01,Recharge,ICICI,Kotak,iOS,10,4,20,1418.4,0,2,24,1,0,2024-04-05 10:31:00,1,,,
TXN000114,9999.89,P2P,HDFC,BOI,iOS,11,3,16,1617.8,0,5,9,0,0,2024-12-19 11:28:00,1,,,
TXN000115,37497.4,Bill Payment,PNB,BOI,Web,8,1,4,339.0,0,0,305,0,0,2024-01-16 08:09:00,0,,,
TXN000116,5.05,P2M,Canara,BOI,Web,18,6,16,1495.1,1,3,4,1,1,2024-10-20 18:08:00,1,,,
TXN000117,9999.43,Bill Payment,PNB,HDFC,Web,9,6,8,839.3,1,3,29,0,1,2024-09-08 09:12:00,1,,,
TXN000118,44567.67,P2M,Axis,Canara,Android,18,0,5,318.9,0,0,527,0,0,2024-12-30 18:45:00,0,,,
TXN000119,28618.15,Shopping,BOI,BOI,Web,13,2,4,442.1,1,1,2966,0,0,2024-10-09 13:08:00,0,,,
TXN000120,9999.9,P2M,Kotak,ICICI,Android,13,2,10,2419.5,1,2,27,1,0,2024-03-06 13:56:00,1,,,
TXN000121,35469.51,Shopping,HDFC,ICICI,Web,11,6,2,423.0,0,1,542,0,1,2024-09-22 11:57:00,0,,,
TXN000122,7718.17,Shopping,Kotak,Axis,Web,16,1,4,20.6,0,0,216,0,0,2024-11-05 16:21:00,0,,,
TXN000123,31953.17,Recharge,Kotak,Canara,Android,13,6,2,321.0,0,0,3326,0,1,2024-11-17 13:34:00,0,,,
TXN000124,7912.44,Bill Payment,BOI,ICICI,iOS,12,6,2,303.3,0,1,3037,0,1,2024-08-25 12:13:00,0,,,
TXN000125,5318.13,Recharge,Axis,ICICI,iOS,9,6,3,124.0,1,1,1603,0,1,2024-03-03 09:17:00,0,,,
TXN000126,36059.21,Recharge,Canara,Axis,Android,9,4,4,233.4,0,1,124,0,0,2024-03-22 09:31:00,0,,,
TXN000127,2442.42,P2M,Kotak,PNB,iOS,10,4,5,336.3,0,0,3500,0,0,2024-11-01 10:56:00,0,,,
TXN000128,20035.08,Shopping,HDFC,ICICI,Android,14,1,4,144.3,0,1,3160,0,0,2024-04-09 14:23:00,0,,,
TXN000129,39746.91,Bill Payment,Canara,Canara,Android,11,5,1,99.5,0,0,215,1,1,2024-07-06 11:48:00,0,,,
TXN000130,25780.13,Shopping,Canara,Kotak,iOS,11,5,1,196.5,0,1,2461,0,1,2024-11-09 11:20:00,0,,,
TXN000131,18424.21,Shopping,Axis,SBI,Web,16,3,2,398.4,0,0,2474,0,0,2024-08-01 16:37:00,0,,,
TXN000132,26216.37,Bill Payment,BOI,ICICI,iOS,16,5,5,121.1,0,0,811,1,1,2024-07-13 16:09:00,0,,,
TXN000133,20524.77,Recharge,BOI,PNB,Android,17,3,5,363.7,0,0,2327,0,0,2024-08-29 17:55:00,0,,,
TXN000134,26661.02,P2M,Kotak,Kotak,Android,14,3,5,340.4,0,1,2528,0,0,2024-12-12 14:49:00,0,,,
TXN000135,49113.19,Bill Payment,Kotak,HDFC,Web,17,3,5,352.5,0,1,2325,0,0,2024-12-26 17:13:00,0,,,
TXN000136,18990.91,Bill Payment,Canara,Axis,Android,22,1,1,145.2,0,0,1448,0,0,2024-06-25 22:49:00,0,,,
TXN000137,13563.92,Shopping,Axis,Axis,Android,14,6,0,307.8,0,0,237,0,1,2024-05-19 14:08:00,0,,,
TXN000138,99544.04,Bill Payment,PNB,Kotak,Web,0,1,10,1517.3,0,5,21,1,0,2024-10-08 00:59:00,1,,,
TXN000139,9999.46,Recharge,ICICI,Kotak,Android,17,5,10,1544.7,0,2,27,1,1,2024-01-20 17:58:00,1,,,
TXN000140,1.97,P2P,PNB,ICICI,Web,12,6,20,2723.1,1,5,9,1,1,2024-11-24 12:34:00,1,,,
TXN000141,12870.67,Recharge,BOI,PNB,Android,9,4,2,283.9,0,0,2532,0,0,2024-06-21 09:50:00,0,,,
TXN000142,4778.3,Bill Payment,Kotak,SBI,iOS,22,6,1,3.4,0,1,3117,0,1,2024-09-01 22:20:00,0,,,
TXN000143,34641.5,Bill Payment,PNB,Axis,Android,6,4,2,79.9,0,1,2857,0,0,2024-03-01 06:29:00,0,,,
TXN000144,23914.31,Shopping,HDFC,Canara,Web,13,2,3,351.0,0,0,3150,0,0,2024-11-06 13:23:00,0,,,
TXN000145,3914.36,Shopping,Canara,HDFC,Web,14,3,4,451.4,0,0,703,0,0,2024-02-01 14:53:00,0,,,
TXN000146,29161.55,Recharge,Kotak,SBI,iOS,7,2,0,226.7,0,1,2339,0,0,2024-09-18 07:28:00,0,,,
TXN000147,160.74,Recharge,SBI,Kotak,iOS,9,2,3,172.3,1,0,312,0,0,2024-02-07 09:02:00,0,,,
TXN000148,6780.09,Shopping,ICICI,PNB,Android,15,1,2,496.4,0,1,1568,0,0,2024-11-26 15:26:00,0,,,
TXN000149,26867.55,Recharge,BOI,Axis,Android,14,2,0,378.1,0,1,2788,0,0,2024-04-24 14:53:00,0,,,
TXN000150,7764.52,P2P,SBI,Canara,Web,9,1,5,209.6,0,0,1015,0,0,2024-02-27 09:02:00,0,,,
TXN000151,43611.9,Bill Payment,Axis,PNB,Web,9,1,3,117.2,0,0,603,0,0,2024-01-23 09:25:00,0,,,
TXN000152,33629.87,Shopping,ICICI,BOI,Web,11,0,1,492.8,0,1,1260,0,0,2024-06-03 11:56:00,0,,,
TXN000153,48614.79,Shopping,Canara,Axis,Android,21,0,4,159.4,0,0,1258,0,0,2024-12-09 21:24:00,0,,,
TXN000154,35381.76,P2M,PNB,HDFC,iOS,18,1,3,483.9,0,0,1620,0,0,2024-01-30 18:35:00,0,,,
TXN000155,4632.28,Shopping,Axis,Canara,Android,16,6,2,188.6,0,0,3608,0,1,2024-04-07 16:03:00,0,,,
TXN000156,16654.89,P2M,BOI,Axis,Web,21,0,1,481.0,0,1,1023,0,0,2024-01-08 21:13:00,0,,,
TXN000157,14160.13,Recharge,PNB,Axis,iOS,13,3,2,130.8,0,1,1938,0,0,2024-11-28 13:22:00,0,,,
TXN000158,2295.32,Bill Payment,Axis,BOI,Web,19,4,2,276.7,0,1,1239,0,0,2024-03-15 19:01:00,0,,,
TXN000159,24970.08,Bill Payment,ICICI,ICICI,Web,15,0,2,381.7,0,1,1917,0,0,2024-12-16 15:21:00,0,,,
TXN000160,9210.55,P2M,Axis,HDFC,Web,19,6,4,16.9,0,0,3160,1,1,2024-11-24 19:03:00,0,,,
TXN000161,10943.8,P2P,BOI,SBI,Android,13,2,5,333.4,0,1,2730,0,0,2024-01-31 13:39:00,0,,,
TXN000162,13744.29,Shopping,ICICI,Axis,Android,22,1,5,337.0,0,0,468,0,0,2024-01-09 22:32:00,0,,,
TXN000163,12628.39,P2P,SBI,HDFC,iOS,11,0,2,479.6,0,0,2885,0,0,2024-07-22 11:05:00,0,,,
TXN000164,27639.54,P2P,SBI,Axis,Android,5,4,1,41.3,0,1,2347,0,0,2024-01-05 05:44:00,0,,,
TXN000165,34617.46,Bill Payment,SBI,Axis,Web,14,5,0,342.2,0,0,764,0,1,2024-05-18 14:02:00,0,,,
TXN000166,8.39,P2P,PNB,SBI,Android,3,4,17,2192.6,1,5,25,0,0,2024-05-03 03:36:00,1,,,
TXN000167,41935.35,Recharge,Axis,PNB,Web,11,6,3,484.5,0,1,3239,0,1,2024-11-10 11:38:00,0,,,
TXN000168,21598.08,Bill Payment,ICICI,BOI,Web,16,2,0,386.1,0,0,2950,0,0,2024-12-04 16:24:00,0,,,
TXN000169,7722.3,P2M,HDFC,ICICI,iOS,12,2,0,2.6,0,1,3148,0,0,2024-07-03 12:06:00,0,,,
TXN000170,27741.45,Bill Payment,BOI,BOI,Android,12,6,2,277.1,0,1,3567,0,1,2024-01-14 12:05:00,0,,,
TXN000171,27981.23,Recharge,ICICI,HDFC,Android,23,5,4,84.8,0,0,1131,0,1,2024-05-04 23:36:00,0,,,
TXN000172,21060.91,Recharge,HDFC,ICICI,iOS,13,4,2,472.1,0,1,2462,0,0,2024-02-09 13:23:00,0,,,
TXN000173,8.57,Recharge,PNB,Kotak,Web,12,3,9,1251.1,1,3,16,1,0,2024-08-08 12:52:00,1,,,
TXN000174,24555.46,P2M,ICICI,SBI,Web,14,5,3,140.2,0,1,496,0,1,2024-05-04 14:20:00,0,,,
TXN000175,35421.27,Bill Payment,Axis,Kotak,Web,12,2,5,34.6,0,1,2786,0,0,2024-05-29 12:53:00,0,,,
TXN000176,21162.17,Bill Payment,HDFC,HDFC,Android,11,5,3,291.1,0,1,2256,1,1,2024-08-17 11:38:00,0,,,
TXN000177,17756.89,P2P,HDFC,Kotak,Android,15,1,5,338.7,0,1,3291,0,0,2024-01-23 15:36:00,0,,,
TXN000178,25944.7,Recharge,HDFC,Kotak,iOS,14,0,3,187.1,0,0,1442,0,0,2024-10-21 14:14:00,0,,,
TXN000179,4301.88,Recharge,Canara,PNB,Android,18,2,2,171.5,0,1,1456,0,0,2024-03-13 18:22:00,0,,,
TXN000180,40511.19,P2M,PNB,BOI,iOS,7,0,0,338.6,0,0,2143,0,0,2024-06-24 07:41:00,0,,,
TXN000181,20258.32,Recharge,SBI,Axis,Android,9,5,3,197.8,0,0,1871,0,1,2024-11-23 09:42:00,0,,,
TXN000182,35190.95,Recharge,PNB,BOI,Web,18,1,4,93.5,0,1,496,0,0,2024-10-22 18:06:00,0,,,
TXN000183,5720.46,P2M,PNB,HDFC,Android,11,3,1,406.9,0,1,2546,0,0,2024-08-22 11:39:00,0,,,
TXN000184,9160.4,Shopping,ICICI,ICICI,iOS,16,2,3,298.2,0,1,790,0,0,2024-09-18 16:24:00,0,,,
TXN000185,9363.06,Shopping,Canara,BOI,Web,18,2,2,475.9,0,0,3369,0,0,2024-11-13 18:03:00,0,,,
TXN000186,35510.02,Shopping,Kotak,ICICI,iOS,12,1,4,15.4,0,1,163,0,0,2024-03-26 12:05:00,0,,,
TXN000187,38629.66,P2P,Canara,Axis,iOS,13,2,4,57.1,0,1,2250,0,0,2024-09-18 13:07:00,0,,,
TXN000188,174510.61,Bill Payment,BOI,ICICI,Web,12,3,7,1597.7,0,3,7,0,0,2024-06-27 12:55:00,1,,,
TXN000189,2.86,P2P,ICICI,BOI,Android,13,4,10,1309.1,0,4,28,1,0,2024-11-01 13:34:00,1,,,
TXN000190,43353.71,Bill Payment,BOI,BOI,iOS,8,4,1,355.7,0,1,2034,0,0,2024-03-08 08:15:00,0,,,
TXN000191,9999.81,Bill Payment,HDFC,BOI,Android,8,6,20,1318.2,1,2,24,0,1,2024-07-07 08:29:00,1,,,
TXN000192,41244.13,P2P,SBI,HDFC,Web,13,4,2,168.9,0,1,3258,0,0,2024-06-14 13:53:00,0,,,
TXN000193,22984.49,Bill Payment,ICICI,Kotak,Android,8,3,3,0.3,0,0,2850,0,0,2024-03-21 08:28:00,0,,,
TXN000194,12526.96,P2P,SBI,Axis,iOS,11,3,0,198.2,0,0,1788,0,0,2024-11-28 11:10:00,0,,,
TXN000195,139051.92,P2P,HDFC,PNB,iOS,17,5,18,2235.1,1,3,13,1,1,2024-03-02 17:55:00,1,,,
TXN000196,6865.09,Recharge,PNB,Axis,Web,17,5,5,71.4,0,0,2529,0,1,2024-03-09 17:41:00,0,,,
TXN000197,45995.51,Bill Payment,BOI,PNB,Android,15,2,1,43.3,0,0,2444,0,0,2024-08-14 15:55:00,0,,,
TXN000198,32234.58,Bill Payment,Axis,Axis,Web,10,6,5,303.8,0,0,3502,0,1,2024-11-03 10:38:00,0,,,
TXN000199,32312.03,P2P,PNB,PNB,Android,17,3,3,56.4,0,0,2193,0,0,2024-05-02 17:31:00,0,,,
TXN000200,41950.28,P2P,Kotak,Axis,Android,12,6,1,381.4,0,0,98,0,1,2024-10-06 12:43:00,0,,,
TXN000201,47434.51,Shopping,ICICI,Kotak,Android,12,6,5,250.5,0,1,367,0,1,2024-05-26 12:40:00,0,,,
TXN000202,25570.12,P2M,SBI,Axis,Android,9,2,2,195.4,0,0,1300,0,0,2024-03-20 09:34:00,0,,,
TXN000203,5808.17,P2P,ICICI,Canara,iOS,15,0,5,370.8,0,0,81,0,0,2024-01-29 15:19:00,0,,,
TXN000204,39151.53,Bill Payment,BOI,Kotak,Web,16,1,1,374.9,0,0,3189,0,0,2024-03-26 16:23:00,0,,,
TXN000205,6.19,P2P,Axis,SBI,Android,13,0,10,1419.2,1,2,29,1,0,2024-01-29 13:31:00,1,,,
